iter	Logloss
0	0.6654521606
1	0.64080203
2	0.6202298039
3	0.6004076791
4	0.5840939833
5	0.5695144098
6	0.5559034967
7	0.543831985
8	0.5330997266
9	0.5238450486
10	0.5150126709
11	0.5094747828
12	0.5025022416
13	0.496209072
14	0.4909430514
15	0.4860358122
16	0.4817374894
17	0.4774633046
18	0.4730846393
19	0.4698747069
20	0.4666442539
21	0.4635526135
22	0.4617536427
23	0.4595348958
24	0.4565347424
25	0.4544570081
26	0.4527584796
27	0.4507178837
28	0.4493942588
29	0.447254911
30	0.4454928214
31	0.4439038135
32	0.4427247902
33	0.4412530003
34	0.4400611195
35	0.438456687
36	0.4374642595
37	0.4361736009
38	0.4355234078
39	0.4343572843
40	0.4335919776
41	0.4327430575
42	0.4316185599
43	0.4307764352
44	0.4299843752
45	0.4291278246
46	0.4285492665
47	0.4278146219
48	0.4268937721
49	0.4260664647
50	0.4254514847
51	0.4247371865
52	0.423979276
53	0.4234216578
54	0.4228437168
55	0.4224805842
56	0.4219559691
57	0.421455416
58	0.4210637644
59	0.4206936266
60	0.4204971107
61	0.4200273742
62	0.4196117829
63	0.4190315965
64	0.4183803527
65	0.4179441965
66	0.4173484969
67	0.4171488967
68	0.4167387778
69	0.4162770904
70	0.4156429997
71	0.4152508498
72	0.4147787485
73	0.4143139141
74	0.4138898862
75	0.4133631912
76	0.4129342249
77	0.4127388468
78	0.4122806602
79	0.4119023126
80	0.4114370832
81	0.4112393003
82	0.4108221768
83	0.4103729742
84	0.410012919
85	0.4095544764
86	0.409249982
87	0.408970682
88	0.4087189123
89	0.4085113126
90	0.408423347
91	0.4081986661
92	0.4079774849
93	0.4075800916
94	0.4071075366
95	0.4067777089
96	0.4063413585
97	0.4061182291
98	0.4058680952
99	0.405547262
100	0.4052279216
101	0.4050507067
102	0.404680668
103	0.4043760757
104	0.4040019483
105	0.4038264441
106	0.4035212466
107	0.4030731295
108	0.4028281826
109	0.4026492246
110	0.4023272398
111	0.4021118158
112	0.4018004874
113	0.4016236782
114	0.4014477942
115	0.4010828175
116	0.4007204499
117	0.4005527932
118	0.4003162295
119	0.4000250962
120	0.3998429996
121	0.3994223506
122	0.3989038616
123	0.3987148693
124	0.3984222256
125	0.3982152052
126	0.3980319499
127	0.3977471724
128	0.3974095531
129	0.3972431976
130	0.3969516796
131	0.3967384818
132	0.3965381664
133	0.3960129127
134	0.3956547438
135	0.3954071456
136	0.3951422839
137	0.3949413411
138	0.3947961502
139	0.3945564974
140	0.3943138723
141	0.3940949197
142	0.3939526647
143	0.3936137156
144	0.3933998161
145	0.3930572979
146	0.3927599444
147	0.3926067274
148	0.3924082148
149	0.3921320277
150	0.3919716305
151	0.3917745956
152	0.3916296828
153	0.3915130137
154	0.3913342208
155	0.3909893068
156	0.3907608552
157	0.3904250305
158	0.3899981579
159	0.3896230535
160	0.3892098624
161	0.3889416963
162	0.3887402056
163	0.3883369301
164	0.3879061397
165	0.3874021913
166	0.3871626265
167	0.3867661657
168	0.3864881087
169	0.3862764047
170	0.3859732972
171	0.3857138801
172	0.3854172705
173	0.3851716915
174	0.3849566674
175	0.3845378646
176	0.3842728917
177	0.38393271
178	0.3837431178
179	0.3834014308
180	0.3830953427
181	0.3828813976
182	0.3825975132
183	0.3823074589
184	0.3821205066
185	0.3818652685
186	0.381518834
187	0.3810759256
188	0.3806665114
189	0.3805013103
190	0.3801545091
191	0.3797872671
192	0.379596394
193	0.3793100922
194	0.3790213095
195	0.3787500434
196	0.3783899549
197	0.377965383
198	0.3776565398
199	0.3774826089
200	0.3771408116
201	0.3769243278
202	0.3765067754
203	0.3762674282
204	0.3760303154
205	0.3758145861
206	0.3755288475
207	0.3754008039
208	0.3752015187
209	0.3747221726
210	0.3745550855
211	0.3744314107
212	0.3740985887
213	0.373910572
214	0.3737418952
215	0.3735029027
216	0.3730998626
217	0.3727067992
218	0.3724303331
219	0.3722288984
220	0.3717781942
221	0.3716150019
222	0.3713118334
223	0.3710531148
224	0.3707230007
225	0.370395174
226	0.3701499586
227	0.3697908731
228	0.3694196522
229	0.3690068125
230	0.3688149943
231	0.3684835553
232	0.3683432006
233	0.368090015
234	0.3679277522
235	0.3677338962
236	0.36751895
237	0.3672578788
238	0.3669693884
239	0.3667312862
240	0.3666522226
241	0.3663871976
242	0.3659939191
243	0.3657016542
244	0.3653887194
245	0.365176021
246	0.3650504376
247	0.3647180049
248	0.3645406929
249	0.3642575513
250	0.3640323619
251	0.3638685713
252	0.3636079428
253	0.3633565013
254	0.3629890504
255	0.3626356693
256	0.3624182657
257	0.362157438
258	0.3620127544
259	0.3617076721
260	0.3615554769
261	0.3612706981
262	0.3608840956
263	0.3604691036
264	0.3602861067
265	0.3600418293
266	0.3597705898
267	0.3594562423
268	0.3592449975
269	0.3590039241
270	0.3588287596
271	0.3586125707
272	0.3583706724
273	0.3583224961
274	0.3579813004
275	0.3577421659
276	0.3574815391
277	0.3572952335
278	0.3570747141
279	0.3567910141
280	0.3565008053
281	0.3561541159
282	0.355990674
283	0.3558590659
284	0.3556691062
285	0.3553745045
286	0.3550832321
287	0.3548296201
288	0.3545551942
289	0.3543485953
290	0.3540404939
291	0.3537079142
292	0.3534403989
293	0.3532041124
294	0.3527985828
295	0.3525904571
296	0.3524230688
297	0.3521398456
298	0.3517314087
299	0.3513658032
300	0.3511149664
301	0.3508453531
302	0.3506297712
303	0.35047473
304	0.3502763287
305	0.3502183693
306	0.3500239688
307	0.3497715503
308	0.349389159
309	0.3493021912
310	0.3489980927
311	0.3487662062
312	0.3484071901
313	0.3481620209
314	0.3479671096
315	0.3476097697
316	0.3472562349
317	0.3469679224
318	0.3468394597
319	0.3467098852
320	0.3464707225
321	0.3460906256
322	0.3457811892
323	0.3456489052
324	0.3454582992
325	0.3452825654
326	0.3450828491
327	0.3447245435
328	0.3444364723
329	0.3440974645
330	0.3438486756
331	0.3437301458
332	0.3435284936
333	0.3432185681
334	0.3429234891
335	0.3426903237
336	0.3424681483
337	0.3421967965
338	0.3419336732
339	0.3416705564
340	0.3415335853
341	0.341195294
342	0.3408515293
343	0.3405919526
344	0.3402929346
345	0.340066767
346	0.3398980803
347	0.3396874361
348	0.3394323346
349	0.3391224125
350	0.3389508868
351	0.3385829112
352	0.3383624856
353	0.3380715769
354	0.3376930306
355	0.3374626413
356	0.3372920359
357	0.3370942042
358	0.336862316
359	0.3366222937
360	0.3363803457
361	0.3361692881
362	0.3358456396
363	0.335561019
364	0.3352798976
365	0.3349381685
366	0.3348514285
367	0.3345879263
368	0.334323124
369	0.3340623346
370	0.3337997731
371	0.3336090175
372	0.3333090269
373	0.3330383058
374	0.332756838
375	0.3325831515
376	0.3323794863
377	0.3321284185
378	0.3319404994
379	0.3316497018
380	0.3315711449
381	0.3313805517
382	0.3311489403
383	0.3308621195
384	0.3307267404
385	0.3304219361
386	0.3302943678
387	0.3299672379
388	0.3298363468
389	0.3296798009
390	0.3294476132
391	0.3292293054
392	0.3289742502
393	0.328753526
394	0.328492401
395	0.3282273609
396	0.3279965185
397	0.3277247716
398	0.3275256591
399	0.3273957104
400	0.3272828805
401	0.3271064002
402	0.3269695033
403	0.3266610167
404	0.3264534705
405	0.3262646807
406	0.326033985
407	0.3258536478
408	0.3256472067
409	0.3254730221
410	0.325297757
411	0.3252383694
412	0.3251385391
413	0.3249087094
414	0.3247394453
