iter	Passed	Remaining
0	156	78166
1	158	39507
2	160	26548
3	162	20132
4	165	16352
5	167	13773
6	169	11913
7	170	10500
8	172	9416
9	174	8539
10	175	7820
11	177	7220
12	179	6722
13	181	6289
14	182	5912
15	184	5580
16	186	5288
17	187	5025
18	189	4789
19	190	4578
20	192	4390
21	194	4216
22	195	4058
23	197	3914
24	199	3781
25	200	3656
26	202	3544
27	203	3438
28	205	3340
29	207	3248
30	209	3169
31	211	3092
32	213	3020
33	215	2949
34	217	2884
35	218	2819
36	220	2760
37	222	2700
38	223	2643
39	225	2589
40	226	2540
41	228	2494
42	230	2448
43	232	2404
44	233	2361
45	235	2321
46	236	2281
47	238	2244
48	240	2209
49	241	2174
50	243	2142
51	245	2111
52	246	2081
53	248	2052
54	250	2026
55	252	1998
56	253	1972
57	255	1946
58	257	1923
59	258	1899
60	259	1870
61	261	1849
62	263	1827
63	265	1805
64	266	1785
65	268	1765
66	270	1745
67	271	1726
68	273	1706
69	274	1688
70	276	1672
71	278	1654
72	279	1637
73	281	1621
74	283	1604
75	284	1589
76	286	1573
77	288	1559
78	290	1546
79	291	1531
80	293	1517
81	295	1504
82	296	1490
83	298	1477
84	299	1463
85	301	1450
86	302	1437
87	304	1425
88	306	1413
89	307	1403
90	309	1389
91	310	1378
92	312	1367
93	314	1356
94	315	1346
95	317	1336
96	319	1326
97	320	1315
98	322	1305
99	324	1296
100	325	1286
101	327	1277
102	328	1267
103	330	1258
104	332	1249
105	333	1240
106	335	1232
107	337	1223
108	339	1216
109	340	1208
110	342	1200
111	344	1192
112	345	1184
113	347	1176
114	349	1169
115	351	1162
116	352	1154
117	354	1146
118	356	1139
119	357	1132
120	359	1126
121	361	1119
122	362	1111
123	364	1104
124	365	1097
125	367	1091
126	369	1084
127	370	1078
128	372	1071
129	374	1065
130	375	1058
131	377	1052
132	379	1045
133	380	1039
134	382	1033
135	383	1027
136	385	1021
137	387	1015
138	388	1010
139	390	1005
140	392	999
141	394	993
142	395	987
143	397	982
144	399	977
145	400	972
146	402	967
147	404	962
148	406	957
149	408	952
150	409	946
151	411	941
152	412	936
153	414	930
154	416	925
155	417	921
156	419	916
157	421	911
158	422	906
159	424	902
160	426	897
161	428	893
162	429	888
163	431	883
164	432	879
165	434	874
166	436	869
167	437	865
168	439	860
169	441	856
170	442	852
171	444	848
172	446	843
173	448	839
174	449	835
175	451	831
176	453	826
177	454	822
178	456	818
179	457	813
180	459	809
181	461	805
182	462	801
183	464	797
184	466	794
185	468	790
186	469	786
187	471	782
188	473	778
189	474	774
190	476	771
191	478	767
192	479	763
193	481	759
194	483	755
195	485	752
196	486	748
197	488	744
198	489	741
199	491	737
200	493	734
201	495	730
202	496	726
203	498	723
204	500	719
205	502	716
206	504	713
207	505	710
208	507	706
209	509	703
210	511	699
211	512	696
212	514	693
213	516	689
214	518	686
215	520	683
216	521	680
217	523	677
218	525	674
219	527	670
220	528	667
221	530	664
222	532	660
223	534	658
224	536	655
225	537	651
226	539	648
227	541	645
228	542	642
229	544	639
230	545	635
231	547	632
232	549	629
233	551	626
234	552	623
235	554	620
236	555	616
237	557	613
238	559	610
239	560	607
240	562	604
241	564	601
242	566	598
243	567	595
244	569	592
245	571	589
246	572	586
247	574	583
248	576	580
249	577	577
250	579	574
251	581	571
252	582	568
253	584	565
254	586	563
255	587	560
256	589	557
257	590	554
258	592	551
259	593	548
260	595	545
261	597	542
262	598	539
263	600	536
264	602	533
265	603	531
266	605	528
267	607	525
268	609	523
269	610	520
270	613	518
271	615	516
272	617	513
273	618	510
274	620	507
275	622	504
276	623	502
277	625	499
278	627	496
279	628	493
280	630	491
281	632	488
282	633	485
283	635	483
284	637	480
285	638	478
286	640	475
287	642	472
288	643	470
289	645	467
290	647	465
291	649	462
292	651	460
293	652	457
294	654	454
295	656	452
296	657	449
297	659	447
298	661	444
299	662	441
300	664	439
301	666	436
302	668	434
303	670	432
304	672	429
305	673	427
306	675	424
307	677	422
308	678	419
309	680	417
310	682	414
311	683	412
312	685	409
313	687	407
314	688	404
315	690	402
316	692	399
317	693	397
318	695	394
319	697	392
320	699	389
321	700	387
322	702	384
323	704	382
324	705	380
325	707	377
326	709	375
327	711	372
328	712	370
329	714	367
330	715	365
331	717	363
332	719	360
333	720	358
334	722	355
335	724	353
336	726	351
337	728	348
338	729	346
339	731	344
340	733	341
341	734	339
342	736	337
343	737	334
344	739	332
345	741	330
346	743	327
347	744	325
348	746	322
349	747	320
350	749	318
351	751	315
352	752	313
353	754	311
354	756	308
355	758	306
356	759	304
357	761	302
358	763	299
359	765	297
360	766	295
361	768	292
362	770	290
363	771	288
364	773	285
365	776	284
366	777	281
367	779	279
368	780	277
369	782	274
370	784	272
371	785	270
372	787	268
373	789	265
374	790	263
375	792	261
376	793	259
377	795	256
378	797	254
379	798	252
380	800	250
381	802	247
382	804	245
383	805	243
384	807	241
385	809	238
386	810	236
387	812	234
388	813	232
389	815	230
390	817	227
391	819	225
392	820	223
393	822	221
394	823	219
395	825	216
396	827	214
397	828	212
398	830	210
399	832	208
400	834	206
401	836	203
402	837	201
403	839	199
404	841	197
405	842	195
406	844	193
407	846	190
408	848	188
409	850	186
410	851	184
411	853	182
412	855	180
413	856	178
414	858	175
415	860	173
416	862	171
417	863	169
418	865	167
419	866	165
420	868	162
421	870	160
422	871	158
423	873	156
424	874	154
425	876	152
426	877	150
427	879	147
428	881	145
429	882	143
430	884	141
431	886	139
432	887	137
433	889	135
434	891	133
435	892	131
436	894	128
437	896	126
438	897	124
439	899	122
440	901	120
441	903	118
442	905	116
443	907	114
444	909	112
445	911	110
446	913	108
447	915	106
448	917	104
449	919	102
450	921	100
451	923	98
452	925	95
453	926	93
454	928	91
455	929	89
456	931	87
457	933	85
458	934	83
459	936	81
460	938	79
461	940	77
462	942	75
463	943	73
464	945	71
465	947	69
466	948	67
467	950	64
468	952	62
469	953	60
470	955	58
471	957	56
472	958	54
473	960	52
474	962	50
475	963	48
476	965	46
477	967	44
478	968	42
479	970	40
480	972	38
481	973	36
482	975	34
483	976	32
484	978	30
485	980	28
486	981	26
487	983	24
488	985	22
489	986	20
490	988	18
491	990	16
492	991	14
493	993	12
494	994	10
495	996	8
496	998	6
497	1000	4
498	1001	2
499	1003	0
